"rpt_rec_num","Provider CCN","Hospital Name","Street Address","City","State Code","Zip Code","County","Medicare CBSA Number","Rural Versus Urban","CCN Facility Type","Provider Type","Type of Control","Fiscal Year Begin Date","Fiscal Year End Date","FTE - Employees on Payroll","Number of Interns and Residents (FTE)","Total Days Title V","Total Days Title XVIII","Total Days Title XIX","Total Days (V + XVIII + XIX + Unknown)","Number of Beds","Total Bed Days Available","Total Discharges Title V","Total Discharges Title XVIII","Total Discharges Title XIX","Total Discharges (V + XVIII + XIX + Unknown)","Number of Beds + Total for all Subproviders","Hospital Total Days Title V For Adults & Peds","Hospital Total Days Title XVIII For Adults & Peds","Hospital Total Days Title XIX For Adults & Peds","Hospital Total Days (V + XVIII + XIX + Unknown) For Adults & Peds","Hospital Number of Beds For Adults & Peds","Hospital Total Bed Days Available For Adults & Peds","Hospital Total Discharges Title V For Adults & Peds","Hospital Total Discharges Title XVIII For Adults & Peds","Hospital Total Discharges Title XIX For Adults & Peds","Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults & Peds","Cost of Charity Care","Total Bad Debt Expense","Cost of Uncompensated Care","Total Unreimbursed and Uncompensated Care","Total Salaries From Worksheet A","Overhead Non-Salary Costs","Depreciation Cost","Total Costs","Inpatient Total Charges","Outpatient Total Charges","Combined Outpatient + Inpatient Total Charges","Wage-Related Costs (Core)","Wage-Related Costs (RHC/FQHC)","Total Salaries (adjusted)","Contract Labor: Direct Patient Care","Wage Related Costs for Part - A Teaching Physicians","Wage Related Costs for Interns and Residents","Cash on Hand and in Banks","Temporary Investments","Notes Receivable","Accounts Receivable","Less: Allowances for Uncollectible Notes and Accounts Receivable","Inventory","Prepaid Expenses","Other Current Assets","Total Current Assets","Land","Land Improvements","Buildings","Leasehold Improvements","Fixed Equipment","Major Movable Equipment","Minor Equipment Depreciable","Health Information Technology Designated Assets","Total Fixed Assets","Investments","Other Assets","Total Other Assets","Total Assets","Accounts Payable","Salaries, Wages, and Fees Payable","Payroll Taxes Payable","Notes and Loans Payable (Short Term)","Deferred Income","Other Current Liabilities","Total Current Liabilities","Mortgage Payable","Notes Payable","Unsecured Loans","Other Long Term Liabilities","Total Long Term Liabilities","Total Liabilities","General Fund Balance","Total Fund Balances","Total Liabilities and Fund Balances","DRG Amounts Other Than Outlier Payments","DRG Amounts Before October 1","DRG Amounts After October 1","Outlier Payments For Discharges","Disproportionate Share Adjustment","Allowable DSH Percentage","Managed Care Simulated Payments","Total IME Payment","Inpatient Revenue","Outpatient Revenue","Total Patient Revenue","Less Contractual Allowance and Discounts on Patients' Accounts","Net Patient Revenue","Less Total Operating Expense","Net Income from Service to Patients","Total Other Income","Total Income","Total Other Expenses","Net Income","Cost To Charge Ratio","Net Revenue from Medicaid","Medicaid Charges","Net Revenue from Stand-Alone CHIP","Stand-Alone CHIP Charges"
285,010005,MARSHALL MEDICAL CENTER - SOUTH,2505 U.S. HIGHWAY 431,BOAZ,AL,35957-,MARSHALL,13820,R,STH,1,9,10/01/2010,09/30/2011,598.72,,,9132,4591,19641,114,41610,,2109,1134,5283,114,,7508,3073,15068,102,37230,,2109,1134,5283,1312622,,1133668,1439490,26663251,44671502,5075560,57980457,68628127,139131513,207759640,6968899,,26663251,983584,,,6878054,,,6379506,,564530,190283,1298182,15310555,1971976,2698231,76288392,,6317632,49309588,42937,,56456065,,37458181,37458181,109224801,4100999,2597885,,,,-5692610,1006274,12909411,,,48055,12957466,13963740,95261061,95261061,109224801,12727793,,,23664,2180271,0.1713,,,70743781,150333892,221077673,157766095,63311578,71334753,-8023175,5331504,-2691671,,-2691671,0.282971,8362465,30633130,,
1022,271326,BEARTOOTH BILLINGS CLINIC,2525 NORTH BROADWAY,RED LODGE,MT,59806,CARBON,99927,R,CAH,1,2,01/01/2011,12/31/2011,70.56,,,922,10,1196,25,9125,,104,3,155,25,,298,10,410,25,9125,,104,3,155,204811,502592,735086,827330,3378929,6845553,1392812,8826889,2273967,6206264,8480231,,,,,,,933246,1295236,,2832699,-608544,174550,66852,,4766124,694875,1270521,14498757,,,4178909,,,18546719,,6882,6882,23319725,61242,286817,136879,133727,,223563,842228,17180994,167519,,,17348513,18190741,5128984,5128984,23319725,,,,,,,,,2309452,7923300,10232752,1571029,8661723,10224482,-1562759,725351,-837408,,-837408,1.061421,186460,262576,,
1496,010052,LAKE MARTIN COMMUNITY HOSPITAL,1231 SOUTH STREET,DADEVILLE,AL,36853,TALLAPOOSA,99919,U,STH,1,5,01/01/2011,12/31/2011,72.65,,,1564,299,2681,46,16790,,468,75,892,46,,1564,299,2681,46,16790,,468,75,892,,2405980,1466478,1911488,5244796,8043763,240559,12664848,4760018,15440659,20200677,343489,129485,5244796,153051,,,850541,,,4915619,-3575931,189453,10221,,2895733,,,,,,2609020,,,686880,,51894,51894,3634507,1197880,333194,112449,,,-266123,1377400,,-68357,,,-68357,1309043,2325464,2325464,3634507,1956375,,,,222831,0.1139,,,6696866,14675225,21372091,8222584,13149507,13288563,-139056,271686,132630,,132630,0.641784,287318,1141082,,
1501,013025,HEALTHSOUTH LAKESHORE HOSPITAL,3800 RIDGEWAY DRIVE,BIRMINGHAM,AL,35209,JEFFERSON,13820,U,RH,5,4,01/01/2011,12/31/2011,297.77,,,23060,230,32378,100,36500,,1668,25,2390,100,,23060,230,32378,100,36500,,1668,25,2390,,,-8796,-8796,14845640,13346195,2185328,27772742,59344818,2042176,61386994,,,,,,,73289485,,,4851517,-890342,134049,104878,,77489587,,,32682659,718801,,2425479,,,5554393,,20,20,83044000,524898,910154,,,,1621564,3056616,,,,3055705,3055705,6112321,76931679,76931679,83044000,,,,,,,,,59344818,2042176,61386994,21832574,39554420,28191835,11362585,421791,11784376,21729,11762647,0.452421,,,,
1504,103037,HEALTHSOUTH REHABILITATION HOSPITAL,901 NORTH CLEARWATER-LARGO ROAD,LARGO,FL,33770,PINELLAS,45300,U,RH,5,4,01/01/2011,12/31/2011,154.6,,,13304,699,16961,70,25550,,1086,44,1370,70,,13304,699,16961,70,25550,,1086,44,1370,,,-14956,-14956,8290506,7443396,717014,16520185,24904572,3564,24908136,,,,,,,40782630,,,1969952,-364140,122400,86945,,42597787,1199088,,10516517,,,3463806,,,4960753,,1548530,1548530,49107070,973226,611169,,,,390674,1975069,,,,,,1975069,47132001,47132001,49107070,,,,,,,,,24904571,3564,24908135,4666113,20242022,15733902,4508120,56946,4565066,,4565066,0.663245,,,,
1506,103042,HEALTHSOUTH REHAB  OF SPRING HILL,12440 CORTEZ BOULEVARD,BROOKSVILLE,FL,34613,HERNANDO,45300,U,RH,5,4,01/01/2011,12/31/2011,189.89,,,18132,214,21892,80,29200,,1247,10,1495,80,,18132,214,21892,80,29200,,1247,10,1495,,,-9774,-9774,10216548,11569802,802838,20116577,35967273,2622669,38589942,,,,,,,33687990,,,3735334,-1034171,69142,56526,,36514821,750191,,10364583,,,2626120,,,8969285,,1788,1788,45485894,235972,589348,,,,568837,1394157,,,,,,1394157,44091737,44091737,45485894,,,,,,,,,35967274,2622669,38589943,12453199,26136744,21786350,4350394,60139,4410533,,4410533,0.521291,,,,
1507,141990,HILL TOP CENTER,502 N. WAUKEGAN ROAD,LAKE BLUFF,IL,60044,LAKE,29404,U,RNMHC,6,1,01/01/2011,12/31/2011,4.47,,,31,,641,17,6205,,1,,11,17,,31,,641,17,6205,,1,,11,,,,,192726,293943,36593,423443,113779,,113779,,,,,,,165529,5284,,52931,-52931,,3622,,176535,56640,543765,4671537,93893,,713713,,,2101691,49155,,49155,2327381,11542,,,,,,11542,,,,4141,4141,15683,2311698,2311698,2327381,,,,,,,,,113779,2666,116445,,116445,486669,-370224,245940,-124284,,-124284,,,,,
1508,143028,VAN MATRE HEALTHSOUTH REHABILITATION,950 S. MULFORD,ROCKFORD,IL,61108-,WINNEBAGO,40420,U,RH,5,5,01/01/2011,12/31/2011,179.27,,,10259,865,16050,50,18250,,801,68,1202,50,,10259,865,16050,50,18250,,801,68,1202,,,-13182,-13182,9131314,8531773,939490,17524433,29648726,4200779,33849505,,,,,,,2608219,,,3631380,-770420,80030,140992,,5690201,,,12994737,336319,,2745516,,,10125366,,2350000,2350000,18165567,244860,668162,,,,1695197,2608219,,,,7948357,7948357,10556576,7608991,7608991,18165567,,,,,,,,,29648726,4200778,33849504,12357944,21491560,17663089,3828471,1220880,5049351,,5049351,0.517716,,,,
1512,313029,HEALTHSOUTH OF TOMS RIVER  LLC,14 HOSPITAL DRIVE,TOMS RIVER,NJ,08755-,OCEAN,20764,U,RH,5,4,01/01/2011,12/31/2011,296.05,,,25228,256,29935,98,35770,,1768,18,2164,135,,25228,256,29935,98,35770,,1768,18,2164,,,-19939,-19939,19943640,13404146,1272160,35631782,59599775,3282400,62882175,,,,,,,67518054,,,5181884,-1055460,124834,78748,,71848060,1437480,,14565170,,,3825181,,,8956225,27,6528359,6528386,87332671,311737,1246228,,,,7454,1565419,,,,,,1565419,85767252,85767252,87332671,,,,,,,,,59599775,3282400,62882175,18838185,44043990,33347786,10696204,85814,10782018,,10782018,0.566644,,,,
1518,440150,SUMMIT MEDICAL CENTER,5655 FRIST BLVD,HERMITAGE,TN,37076-,DAVIDSON,34980,U,STH,1,4,01/01/2011,12/31/2011,728.03,,,15360,5139,42250,188,68620,,3294,1340,9868,188,,13242,5139,34005,164,59860,,3294,1340,9868,469830,15895509,3060089,3060089,42654872,73151486,6268240,110371895,372464440,284426444,656890884,11928957,,42654871,,,,-89980,,,41961579,-20930460,4987414,981317,217738,27790706,6124510,5888933,31829476,10299905,14049786,62914346,8948740,,51061988,,10027657,10027657,88880351,3451955,3821214,,1385335,,895071,9553575,,3426203,-211481088,94674,-207960211,-198406636,287286987,287286987,88880351,23852011,,,784558,1199756,0.0503,,,374246663,283734659,657981322,490367851,167613471,128884552,38728919,1103716,39832635,,39832635,0.169856,11154581,59265033,,
