"Hospital.Name","Street.Address","City","State.Code","lat","long","Revenue.per.Bed","Cost.to.Revenue.Ratio"
"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,2.96159685294118,0.175418351001614
"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,3.09572495588235,0.167549466948246
"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,3.20029415196078,0.164140473992918
"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,3.64619519095477,0.159864448249526
"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,3.8766800425,0.154041028909597
"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,4.22191778552972,0.151158225219474
"SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,4.41275750129199,0.146641025851125
"SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,5.62630396330275,0.142619628711272
"SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,5.93349198245614,0.142866935405982
"SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,5.61265283433735,0.15960329276267
"SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,5.77393309509202,0.170594148419173
"SOUTHEAST HEALTH MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL",31.21610655,-85.3630864153545,5.80673874504249,0.169941965400689
"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",34.7950578233663,-87.6849741042054,1.69025316759777,0.179063055434587
"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",34.7950578233663,-87.6849741042054,1.83173490782123,0.167886555795487
"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",34.7950578233663,-87.6849741042054,2.01246679608939,0.156752438760872
"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",34.7950578233663,-87.6849741042054,2.15847305307263,0.157404037923027
"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",34.7950578233663,-87.6849741042054,2.17045504469274,0.15324276682263
"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",34.7950578233663,-87.6849741042054,2.12463907821229,0.161759478070538
"ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL",34.7950578233663,-87.6849741042054,2.22709596089385,0.156184122301293
"NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL",34.80504285,-87.6508142505808,3.8236268583691,0.152058541798064
"NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL",34.80504285,-87.6508142505808,4.12517952466368,0.160641294617651
"NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL",34.80504285,-87.6508142505808,4.46175047982063,0.148113005541531
"NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL",34.80504285,-87.6508142505808,4.7267954529148,0.158754631046854
"NORTH ALABAMA MEDICAL CENTER","1701 VETERANS DRIVE","FLORENCE","AL",34.80504285,-87.6508142505808,5.75507415246637,0.124628204094717
"CRENSHAW COMMUNITY HOSPITAL","101 HOSPITAL CIRCLE","LUVERNE","AL",31.6937493,-86.2647016038026,1.23168965517241,0.32176331924186
"HARTSELLE MEDICAL CENTER","201 PINE STREET NW","HARTSELLE","AL",34.4458295292093,-86.9359155801586,0.731920030769231,0.150392123544729
"ST. VINCENT S EAST","50 MEDICAL PARK DRIVE EAST","BIRMINGHAM","AL",33.5953153,-86.6676306694051,2.86966996774194,0.206863609199445
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,1.22743476216216,0.299633644645598
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,1.65630774054054,0.238873278060235
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,1.95180625945946,0.21540733725571
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,2.01720628108108,0.211081718097453
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,1.0784539972973,0.198073258981823
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,2.08158443783784,0.20050630299366
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,2.29455196629213,0.204221146695182
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,2.59305075842697,0.188027063302415
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,2.71946968539326,0.191168596230192
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,2.66544578488372,0.192008437874746
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,3.07741823255814,0.19556700253967
"HELEN KELLER HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL",34.746119,-87.7007605692352,2.80270041011236,0.214818674685359
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,2.82298764187328,0.243529131984209
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,3.33846885950413,0.27144680739458
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,3.41839558126722,0.259534435981549
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,3.9281332827381,0.253663818656357
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,4.14907110942249,0.26071898269653
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,4.42629945288754,0.261732276349984
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,4.57099209726444,0.2636309397626
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,4.735521728125,0.27190763609057
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,4.88827625766871,0.279839749425265
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,5.42660289908257,0.301193387780652
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,5.43860628571429,0.320882903897556
"BAPTIST MEDICAL CENTER SOUTH","2105  EAST SOUTH BOULEVARD","MONTGOMERY","AL",32.32795305,-86.2777819959996,5.18288803735632,0.310189914047927
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,2.52187879215686,0.218251510189045
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,2.51840042352941,0.217692222091275
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,2.84986663529412,0.194886963489308
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,2.96022432941176,0.196337232015077
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,3.41356285098039,0.172768627493726
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,4.14712156431535,0.161911651850846
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,4.18308197276265,0.156959018246323
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,4.32186245555556,0.152340247536097
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,4.73857300740741,0.150288765789962
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,4.2348199270073,0.180418648778541
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,4.53106198561151,0.183485051964631
"JACKSON HOSPITAL AND CLINIC  INC","1725 PINE STREET","MONTGOMERY","AL",32.3665644,-86.2847742387112,4.98311623741007,0.177107476173678
"GEORGE H. LANIER HOSPITAL","4800 48TH STREET","VALLEY","AL",32.8245339,-85.1689389802183,1.07522764285714,0.41421415721911
"GEORGE H. LANIER HOSPITAL","4800 48TH STREET","VALLEY","AL",32.8245339,-85.1689389802183,1.07255191666667,0.403162379940738
"GEORGE H. LANIER HOSPITAL","4800 48TH STREET","VALLEY","AL",32.8245339,-85.1689389802183,0.54251825,0.457740976148421
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,1.852822375,0.4046632362613
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,2.04080065116279,0.391222495727889
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,2.08472672519084,0.372734071089428
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,2.29309922556391,0.372313909195165
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,2.06872379819277,0.361807939966177
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,2.20520533968254,0.35825365790145
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,1.9257968772846,0.355555887451665
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,2.10351607795699,0.374992168929712
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,2.84708646822742,0.36436754130862
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,2.67934433118971,0.38930569118804
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,2.83520206752412,0.373109950437384
"EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PKWY","OPELIKA","AL",32.638159,-85.404239,3.23794233670034,0.340738898657544
"WEDOWEE HOSPITAL","301 NORTH MAIN STREET","WEDOWEE","AL",33.316671,-85.487622,0.615201764705882,0.334334742403975
"WEDOWEE HOSPITAL","301 NORTH MAIN STREET","WEDOWEE","AL",33.316671,-85.487622,0.624514382352941,0.339091093319614
"WEDOWEE HOSPITAL","301 NORTH MAIN STREET","WEDOWEE","AL",33.316671,-85.487622,0.565306470588235,0.348592174364556
"WEDOWEE HOSPITAL","301 NORTH MAIN STREET","WEDOWEE","AL",33.316671,-85.487622,0.651757147058823,0.276546167525499
"WEDOWEE HOSPITAL","301 NORTH MAIN STREET","WEDOWEE","AL",33.316671,-85.487622,0.6747995,0.258782445312841
"WEDOWEE HOSPITAL","301 NORTH MAIN STREET","WEDOWEE","AL",33.316671,-85.487622,0.702107470588235,0.268453832315096
"WEDOWEE HOSPITAL","301 NORTH MAIN STREET","WEDOWEE","AL",33.316671,-85.487622,0.591900205882353,0.344887182144725
"ANDALUSIA REGIONAL HOSPITAL","849 THREE NOTCH STREET","ANDALUSIA","AL",31.2958801,-86.4943112398162,1.54611143181818,0.190918402726559
"ANDALUSIA REGIONAL HOSPITAL","849 THREE NOTCH STREET","ANDALUSIA","AL",31.2958801,-86.4943112398162,1.58652638636364,0.188557625198366
"ANDALUSIA REGIONAL HOSPITAL","849 THREE NOTCH STREET","ANDALUSIA","AL",31.2958801,-86.4943112398162,1.58012279545455,0.201782613183846
"ANDALUSIA REGIONAL HOSPITAL","849 THREE NOTCH STREET","ANDALUSIA","AL",31.2958801,-86.4943112398162,2.019791875,0.163672213414653
"ANDALUSIA REGIONAL HOSPITAL","849 THREE NOTCH STREET","ANDALUSIA","AL",31.2958801,-86.4943112398162,2.24707960227273,0.143461888828887
"ANDALUSIA REGIONAL HOSPITAL","849 THREE NOTCH STREET","ANDALUSIA","AL",31.2958801,-86.4943112398162,2.81913029545455,0.127732619633749
"ANDALUSIA REGIONAL HOSPITAL","849 THREE NOTCH STREET","ANDALUSIA","AL",31.2958801,-86.4943112398162,3.03602747727273,0.119230490555283
"ANDALUSIA REGIONAL HOSPITAL","849 THREE NOTCH STREET","ANDALUSIA","AL",31.2958801,-86.4943112398162,3.30626904819277,0.118652484243232
