"State.Code","AvgCostToRevenue","AvgRevenuePerBed","NumberOfHospitals"
"AK",0.570561853572721,4.24554745240331,189
"AL",0.308174636941579,2.92320868861548,1192
"AR",0.358709703961373,2.26697911064721,1058
"AS",0.746438777428136,1.63829116412213,2
"AZ",0.2842023276955,4.49208142660618,1088
"CA",0.267234899724834,5.7296917682568,4202
"CO",0.399593990288419,4.56872348197508,1183
"CT",0.380185774228307,4.31420235234126,383
"DC",0.348815233239728,3.71469332539378,140
"DE",0.345679269542655,2.89477138517954,136
"FL",0.218047377536152,4.778933529312,2644
"GA",0.307227283817284,3.56048428863949,1858
"GU",0.630866621471243,1.68749261296556,19
"HI",0.577732444342594,3.08497115860888,288
"IA",0.497396256704677,2.40241972345683,1398
"ID",0.506212223148887,3.0350343309936,562
"IL",0.311321486283552,3.74907963741402,2215
"IN",0.297023436001908,4.18100465356145,1686
"KS",0.63605188130812,2.08664519432276,1685
"KY",0.291549336503756,3.0806038249427,1299
"LA",0.360818190058358,2.67841890953877,1918
"MA",0.406111595216777,3.6215305791089,888
"MD",0.664018907846135,1.70378396597341,600
"ME",0.433049998141024,3.41858179350316,438
"MI",0.35897781732969,3.51707203821924,1713
"MN",0.488957352456231,3.31624977347588,1534
"MO",0.345259446637422,3.64819609499164,1448
"MS",0.380601954083093,2.28404128652734,1131
"MT",0.709820725364242,1.90611825425827,723
"NC",0.281797418451701,3.86021930738963,1376
"ND",0.673180003410086,1.66774277421871,543
"NE",0.61814461905715,2.18096044661837,1111
"NH",0.389020031704346,4.61262044632126,341
"NJ",0.217977787412075,5.79739276221886,946
"NM",0.34583803487638,3.55503581249049,531
"NV",0.316588658180757,4.56816432750783,582
"NY",0.385227955491919,3.79725375558648,1923
"OH",0.291234950215729,4.21069810609335,2222
"OK",0.393265536342186,2.99382518756838,1590
"OR",0.443579871436874,4.26295644882299,683
"PA",0.275419576027825,4.41472677830742,2332
"PR",0.514909261696397,0.593732194638626,625
"RI",0.325223741260753,3.3584306803816,152
"SC",0.271966339771211,3.64822667127113,893
"SD",0.499826536677523,2.42296241740212,659
"TN",0.257003437556813,3.3673187721771,1444
"TX",0.346551624281936,3.762637387659,6397
"UT",0.411647521385431,2.85328240151,642
"VA",0.329555646081504,4.01057824991212,1221
"VI",0.544351698319148,1.24676728607202,24
"VT",0.406992843720159,4.33140452595493,180
"WA",0.42087357818302,5.14433048009914,1169
"WI",0.374886284593284,4.53738177608556,1600
"WV",0.385539081936018,2.46787574746385,664
"WY",0.518859629082858,2.48238578972363,329
